lambda_idx,t_1_ms,t_2_ms,t_3_ms
0,15.811,22.652,27.562
1,15.975,22.726,27.413
2,15.876,22.488,27.687
3,15.547,22.174,27.438
4,15.791,22.363,27.264
5,15.597,22.139,27.159
6,15.557,21.891,27.095
7,15.672,22.134,27.134
8,15.672,22.418,27.408
9,16.806,23.274,28.438
10,16.463,22.891,27.985
11,15.856,22.537,27.378
12,16.572,23.234,28.114
13,15.935,22.453,27.468
14,15.811,22.657,27.667
15,16.204,22.662,27.647
16,15.478,21.975,27.070
17,15.945,22.423,27.403
18,16.030,22.473,27.627
19,15.139,21.637,26.846
20,16.129,22.657,27.721
21,16.403,23.239,28.129
22,15.333,22.070,26.886
23,15.517,21.841,26.806
24,15.786,22.617,27.289
25,15.328,21.791,26.781
26,16.075,22.592,27.692
27,15.662,22.393,27.124
28,15.119,21.811,26.473
29,15.254,22.000,26.811
30,15.711,22.468,27.572
31,15.776,22.517,27.264
32,16.433,23.095,27.806
33,14.851,21.587,26.343
34,15.612,22.114,27.025
35,15.925,22.448,27.219
36,14.970,21.433,26.139
37,16.189,23.134,27.716
38,15.871,22.612,27.657
39,16.045,22.721,27.662
40,15.040,21.647,26.572
41,14.746,21.682,26.672
42,15.483,22.119,26.866
43,15.915,22.164,27.040
44,15.627,22.169,26.841
45,15.721,22.423,27.234
46,15.308,21.935,26.896
47,15.473,21.811,26.637
48,16.015,22.393,27.164
49,16.363,23.005,28.060
50,15.308,21.965,26.697
51,15.881,22.448,27.065
52,16.020,22.955,27.866
53,15.637,22.333,27.284
54,15.333,21.960,26.881
55,15.886,22.119,27.274
56,16.085,22.667,27.622
57,15.572,22.010,26.905
58,15.423,21.726,26.299
59,15.040,21.627,26.622
60,16.542,23.124,27.985
61,15.955,22.478,27.284
62,15.642,22.124,27.100
63,15.229,21.831,26.886
64,15.955,22.512,27.358
65,15.498,21.657,26.637
66,14.836,21.597,26.224
67,14.910,21.318,26.080
68,16.000,22.453,27.169
69,14.771,21.512,26.224
70,15.259,21.667,26.652
71,15.318,21.821,26.816
72,15.507,21.687,26.433
73,15.239,21.925,26.667
74,16.114,22.746,27.667
75,15.478,22.119,26.682
76,15.124,21.473,26.234
77,15.697,21.920,26.726
78,15.224,21.701,26.408
79,15.368,21.796,26.582
80,15.428,21.920,27.000
81,15.741,22.378,27.383
82,16.378,22.886,27.806
83,14.965,21.259,26.284
84,15.682,21.866,26.726
85,15.716,22.179,26.886
86,15.124,21.881,26.393
87,15.831,21.990,26.975
88,16.129,22.667,27.532
89,15.204,21.726,26.741
90,15.030,21.488,26.323
91,15.637,22.249,26.965
92,14.806,21.443,26.274
93,15.910,22.448,27.179
94,15.204,21.826,26.567
95,15.602,22.189,26.801
96,15.557,21.910,27.020
97,15.333,21.731,26.542
98,15.393,21.791,26.905
99,15.657,21.965,26.846
100,14.985,21.299,26.080
101,14.935,21.463,26.269
102,15.657,21.567,26.433
103,15.229,21.572,26.328
104,14.557,21.234,25.746
105,14.706,21.368,26.055
106,15.413,21.771,26.701
107,15.358,21.801,26.731
108,15.507,22.159,26.925
109,14.343,20.905,25.647
110,15.154,21.632,26.463
111,15.751,22.353,27.219
112,15.925,22.279,27.095
113,15.547,22.204,26.930
114,15.667,22.279,27.179
115,15.706,22.179,26.801
116,15.751,22.403,27.413
117,15.005,21.443,26.493
118,15.582,22.368,27.403
119,15.055,21.542,26.308
120,15.876,22.338,27.249
121,15.338,21.915,26.930
122,15.831,22.547,27.358
123,14.816,21.184,26.129
124,14.562,21.289,26.318
125,15.109,21.468,26.284
126,15.209,21.900,26.597
127,15.547,21.945,26.891
128,15.313,21.821,26.841
129,14.547,21.199,25.975
130,15.726,22.080,27.045
131,14.791,21.189,26.080
132,14.522,21.289,26.040
133,15.403,21.935,26.891
134,15.502,21.905,26.627
135,15.736,22.164,27.124
136,15.642,22.055,26.741
137,15.104,21.532,26.279
138,14.607,21.144,26.100
139,15.920,22.179,27.040
140,15.731,21.896,26.716
141,15.229,21.761,26.562
142,14.965,21.398,26.294
143,15.174,21.303,26.075
144,15.299,21.711,26.587
145,15.483,21.970,26.831
146,15.711,22.239,27.169
147,15.567,22.199,26.766
148,15.701,22.144,27.055
149,14.607,21.015,25.945
150,15.706,22.194,26.930
151,15.637,21.920,26.771
152,15.463,21.915,26.761
153,15.473,21.975,26.915
154,14.493,21.085,25.687
155,15.343,21.940,26.463
156,15.204,21.896,26.756
157,15.647,22.234,27.055
158,16.512,22.930,27.667
159,13.905,20.179,24.930
160,15.005,21.483,26.010
161,15.607,22.358,27.045
162,14.975,21.005,25.771
163,15.423,22.055,26.856
164,15.060,21.622,26.159
165,15.716,22.199,26.806
166,14.806,21.433,26.284
167,15.284,21.627,26.109
168,14.905,21.363,26.124
169,15.567,21.970,26.891
170,16.164,22.547,27.438
171,15.498,21.891,26.592
172,16.114,22.373,27.010
173,15.299,21.587,26.299
174,15.433,21.766,26.697
175,15.552,22.090,26.657
176,15.468,21.741,26.383
177,15.547,21.836,26.776
178,15.025,21.507,26.413
179,15.015,21.453,26.448
180,15.189,21.682,26.532
181,14.114,20.756,25.483
182,14.269,20.751,25.657
183,15.687,22.129,26.672
184,15.229,21.478,26.443
185,14.453,20.886,25.861
186,16.109,22.502,27.348
187,15.299,21.677,26.244
188,16.164,22.597,27.144
189,15.940,22.423,27.139
190,14.816,21.289,25.970
191,16.129,22.552,27.527
192,16.428,22.806,27.836
193,15.403,21.811,26.692
194,15.876,22.294,27.090
195,15.587,22.085,26.677
196,15.786,22.303,26.826
197,14.886,21.239,26.010
198,15.677,22.080,26.910
199,15.119,21.667,26.488
200,16.532,22.965,27.677
201,15.692,21.910,26.876
202,15.323,21.567,26.393
203,15.119,21.353,26.378
204,15.164,21.662,26.393
205,15.299,21.856,26.572
206,14.587,21.249,25.866
207,15.100,21.766,26.483
208,14.960,21.662,26.313
209,15.368,22.010,27.010
210,14.582,21.010,25.692
211,15.269,21.438,26.348
212,14.811,21.687,26.443
213,15.139,21.572,26.328
214,15.274,21.423,26.114
215,15.557,21.826,26.378
216,15.109,21.647,26.383
217,14.796,21.333,26.124
218,14.473,21.234,26.219
219,15.383,22.085,26.965
220,14.751,21.323,25.930
221,14.965,21.274,26.308
222,14.269,20.697,25.562
223,14.985,21.567,26.313
224,15.134,21.612,26.378
225,14.627,21.239,26.010
226,14.965,21.373,26.129
227,14.876,21.154,26.070
228,14.423,21.239,25.975
229,15.010,21.652,26.189
230,15.249,21.483,26.075
231,15.100,21.781,26.587
232,15.910,22.423,27.289
233,15.657,22.090,26.935
234,15.279,21.846,26.697
235,15.090,21.522,26.348
236,15.015,21.672,26.204
237,14.871,21.507,26.010
238,14.512,21.100,25.697
239,15.408,21.876,26.741
240,15.259,21.776,26.751
241,15.582,21.900,26.587
242,15.189,21.761,26.522
243,15.259,21.950,26.861
244,15.507,21.930,26.572
245,15.199,21.771,26.035
246,15.756,22.403,27.090
247,15.871,22.109,27.065
248,15.219,21.721,26.458
249,15.204,21.632,26.562
250,15.124,21.393,26.289
251,14.766,21.269,26.040
252,14.905,21.343,26.179
253,15.124,21.657,26.458
254,15.453,21.642,26.209
255,14.990,21.463,26.159
256,14.896,21.333,25.925
257,14.935,20.925,25.811
258,14.692,21.289,26.030
259,14.891,21.448,26.119
260,14.537,21.209,25.831
261,14.637,21.154,25.900
262,15.358,21.866,26.692
263,15.169,21.736,26.323
264,14.980,21.423,26.328
265,15.687,22.318,27.065
266,15.527,21.881,26.841
267,15.343,21.990,26.711
268,14.871,21.403,26.065
269,15.443,21.721,26.373
270,15.672,22.234,27.269
271,15.711,22.239,26.756
272,15.338,21.771,26.662
273,15.209,21.786,26.517
274,16.005,22.343,27.602
275,15.328,21.701,26.682
276,14.871,21.184,25.940
277,15.244,21.756,26.408
278,14.975,21.254,26.050
279,15.368,22.159,26.940
280,15.279,21.806,26.617
281,15.308,21.697,26.453
282,15.677,21.970,26.642
283,15.149,21.642,26.532
284,15.045,21.557,26.249
285,15.597,21.945,26.816
286,15.682,22.189,26.896
287,14.627,21.100,25.682
288,15.622,21.886,26.488
289,15.930,22.174,26.856
290,15.119,21.667,26.443
291,14.925,21.348,26.045
292,15.254,21.557,26.303
293,15.005,21.522,26.234
294,15.294,21.692,26.537
295,15.975,22.478,27.129
296,15.617,22.239,27.159
297,15.338,21.746,26.527
298,15.353,21.632,26.657
299,14.781,21.100,25.761
300,15.284,21.701,26.189
301,15.095,21.403,26.244
302,15.587,21.995,27.025
303,15.294,21.726,26.592
304,15.333,21.791,26.363
305,15.826,22.010,26.995
306,15.846,22.562,26.950
307,14.517,20.796,25.612
308,15.552,22.060,26.692
309,15.124,21.980,26.801
310,15.692,22.199,26.975
311,15.055,21.428,26.299
312,15.557,21.891,26.791
313,15.781,22.607,27.413
314,15.920,22.527,27.075
315,15.403,21.990,26.701
316,15.915,22.468,27.204
317,15.692,22.194,26.776
318,15.328,21.667,26.478
319,15.244,21.701,26.418
320,15.478,22.000,26.836
321,15.204,21.667,26.308
322,15.582,21.915,26.527
323,15.522,22.050,26.980
324,14.821,21.398,26.114
325,15.075,21.343,26.363
326,15.289,21.940,26.637
327,14.667,21.214,26.095
328,15.000,21.443,26.139
329,15.597,22.279,27.169
330,15.080,21.731,26.652
331,15.517,21.876,26.537
332,15.383,21.672,26.607
333,15.428,22.040,26.741
334,15.418,21.811,26.706
335,15.448,21.761,26.512
336,15.030,21.930,26.478
337,15.318,22.154,26.950
338,16.219,22.602,27.468
339,14.652,21.015,26.109
340,15.622,22.294,26.970
341,15.945,22.473,27.284
342,15.229,21.552,26.572
343,15.542,21.960,26.726
344,15.124,21.527,26.413
345,15.149,21.423,26.303
346,15.602,22.179,26.930
347,15.224,21.682,26.488
348,15.254,21.950,26.602
349,14.866,21.383,26.189
350,14.567,21.204,25.652
351,15.786,22.119,27.015
352,15.303,21.597,26.075
353,15.060,21.657,26.189
354,15.831,21.970,27.035
355,15.562,22.060,27.080
356,14.786,21.507,26.308
357,15.403,21.816,26.582
358,14.682,21.164,26.104
359,15.269,21.781,26.468
360,15.811,22.303,27.060
361,15.930,22.517,27.269
362,15.129,21.542,26.338
363,15.736,21.915,26.761
364,15.104,21.592,26.393
365,14.687,21.035,25.816
366,15.363,21.975,26.721
367,14.682,21.269,26.065
368,15.015,21.313,26.010
369,15.035,21.408,26.045
370,15.741,22.035,26.975
371,15.408,21.960,26.940
372,15.940,22.547,27.274
373,14.886,21.433,26.199
374,15.746,22.114,26.706
375,15.303,21.915,26.826
376,15.154,21.706,26.771
377,15.925,22.348,26.831
378,14.866,21.109,26.025
379,15.433,21.726,26.567
380,15.493,21.955,26.597
381,15.428,21.980,26.910
382,15.229,21.851,26.846
383,16.055,22.512,27.254
384,15.308,21.597,26.368
385,15.532,21.925,26.562
386,15.522,22.204,27.294
387,15.189,21.617,26.279
388,15.622,22.104,26.915
389,15.065,21.507,26.338
390,15.408,21.886,26.960
391,15.328,21.866,26.647
392,15.711,22.333,27.090
393,16.990,23.368,28.144
394,15.930,22.408,27.179
395,14.716,21.567,26.348
396,14.900,21.622,26.363
397,15.045,21.423,26.134
398,14.960,21.398,26.234
399,15.771,22.234,27.090
400,15.174,21.781,26.577
401,15.184,21.736,26.617
402,15.209,21.433,26.269
403,16.358,22.776,27.592
404,15.537,21.940,26.622
405,15.040,21.478,25.821
406,15.035,21.254,25.756
407,15.408,22.219,26.841
408,15.144,21.368,26.124
409,15.090,21.507,26.109
410,14.965,21.279,25.925
411,15.915,22.104,26.846
412,15.612,22.045,26.771
